heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
0deg,HL25,3,1.1700,4.3200,5,1214.6088,1203.8306,1220.4530,1.1574
0deg,HL25,4,1.5000,4.9000,5,1213.1218,1173.1315,1219.8948,1.7359
0deg,HL25,5,1.8300,5.4200,5,1211.2378,1162.2878,1220.1059,3.5240
0deg,HL25,6,2.1700,5.8900,5,1208.9768,1155.7629,1219.5904,4.4921
0deg,HL25,7,2.5000,6.3300,5,1204.7879,1150.5177,1276.2311,28.2806
0deg,HL25,8,2.8300,6.7400,5,1199.1952,1147.3278,1508.5462,112.7640
0deg,HL27,1,0.5000,2.9400,5,1216.6261,1216.9037,1218.3558,0.1666
0deg,HL27,2,0.8300,3.8000,5,1215.7895,1216.0440,1219.3278,0.2787
0deg,HL27,3,1.1700,4.4900,5,1214.6278,1202.6858,1219.9563,1.1402
0deg,HL27,4,1.5000,5.0900,5,1213.1419,1172.9557,1220.8799,1.1594
0deg,HL27,5,1.8300,5.6300,5,1211.2890,1162.7450,1219.7657,3.4894
0deg,HL27,6,2.1700,6.1200,5,1209.0697,1156.4772,1220.1025,4.6908
0deg,HL27,7,2.5000,6.5800,5,1204.9749,1151.5486,1278.2662,28.4014
0deg,HL29,1,0.5000,3.0500,5,1216.6258,1216.9038,1218.4037,0.1341
0deg,HL29,2,0.8300,3.9300,5,1215.7810,1216.0876,1219.7590,0.3112
0deg,HL29,3,1.1700,4.6600,5,1214.6190,1201.3090,1219.4770,0.9153
0deg,HL29,4,1.5000,5.2800,5,1213.1712,1172.1828,1221.1026,3.1106
0deg,HL29,5,1.8300,5.8400,5,1211.3403,1163.0071,1221.5840,4.1631
0deg,HL29,6,2.1700,6.3400,5,1209.1529,1157.0958,1221.0195,4.2719
0deg,HL29,7,2.5000,6.8100,5,1205.1111,1152.4628,1281.8555,29.5950
45deg,HL7,1,0.5000,1.5000,5,1223.5328,1223.6940,1228.4091,0.5621
45deg,HL7,2,0.8300,1.9300,5,1219.6790,1219.7442,1231.3974,0.6640
45deg,HL7,3,1.1700,2.2900,5,1214.0522,1214.2789,1240.5599,2.9750
45deg,HL7,4,1.5000,2.5900,5,1207.6585,1207.6751,1251.5856,4.8657
45deg,HL7,5,1.8300,2.8700,5,1200.1213,1198.7479,1277.8057,12.1862
45deg,HL7,6,2.1700,3.1200,5,1191.3462,1187.7933,1313.6926,23.5817
45deg,HL7,7,2.5000,3.3500,5,1181.4582,1182.1379,1379.1509,37.2295
45deg,HL7,8,2.8300,3.5600,5,1170.4397,1173.9726,1448.5400,46.6475
45deg,HL7,9,3.1700,3.7700,5,1157.8038,1165.5128,1498.4395,25.0650
45deg,HL9,1,0.5000,1.7000,5,1223.4802,1223.6314,1228.7243,0.5392
45deg,HL9,2,0.8300,2.1900,5,1219.5827,1219.6478,1233.4592,1.4887
45deg,HL9,3,1.1700,2.5900,5,1213.8698,1214.1375,1242.9130,3.3161
45deg,HL9,4,1.5000,2.9400,5,1207.4031,1207.3824,1258.7284,7.5582
45deg,HL9,5,1.8300,3.2500,5,1199.8424,1198.8752,1282.1778,13.5455
45deg,HL9,6,2.1700,3.5300,5,1190.9819,1188.2625,1303.0322,14.8037
45deg,HL9,7,2.5000,3.8000,5,1181.1058,1181.6690,1349.6255,24.4603
45deg,HL9,8,2.8300,4.0400,5,1170.0447,1172.9766,1415.7790,30.3040
45deg,HL9,9,3.1700,4.2700,5,1157.2789,1164.7067,1529.9850,49.9105
45deg,HL11,1,0.5000,1.8800,5,1223.4379,1223.5968,1228.3695,0.3865
45deg,HL11,2,0.8300,2.4200,5,1219.5150,1219.5861,1234.7184,1.8207
45deg,HL11,3,1.1700,2.8700,5,1213.7520,1214.0515,1245.7117,4.4935
