heading,line,cond_num,Hs,Tp,dof,static_val,dyn_mean,dyn_max,dyn_std
0deg,HL17,2,0.8300,3.0100,pitch,-0.0003,-0.0001,0.0020,0.0003
0deg,HL17,2,0.8300,3.0100,yaw,-0.0007,-0.0006,0.0046,0.0003
0deg,HL17,3,1.1700,3.5600,surge,4.8101,4.8294,4.8863,0.0154
0deg,HL17,3,1.1700,3.5600,sway,-17.9660,-17.9675,-17.9642,0.0004
0deg,HL17,3,1.1700,3.5600,heave,0.0016,0.0004,0.0038,0.0005
0deg,HL17,3,1.1700,3.5600,roll,-0.1222,-0.1449,-0.1118,0.0013
0deg,HL17,3,1.1700,3.5600,pitch,-0.0003,-0.0001,0.0060,0.0009
0deg,HL17,3,1.1700,3.5600,yaw,-0.0001,-0.0007,0.0085,0.0007
0deg,HL17,4,1.5000,4.0400,surge,4.8146,4.9155,5.0211,0.0241
0deg,HL17,4,1.5000,4.0400,sway,-17.9660,-17.9710,-17.9649,0.0002
0deg,HL17,4,1.5000,4.0400,heave,0.0016,-0.0007,0.0051,0.0003
0deg,HL17,4,1.5000,4.0400,roll,-0.1256,-0.2046,-0.1062,0.0053
0deg,HL17,4,1.5000,4.0400,pitch,-0.0003,-0.0001,0.0105,0.0004
0deg,HL17,4,1.5000,4.0400,yaw,0.0005,-0.0033,0.0094,0.0006
0deg,HL17,5,1.8300,4.4700,surge,4.8199,4.9749,5.1276,0.0320
0deg,HL17,5,1.8300,4.4700,sway,-17.9660,-17.9727,-17.9649,0.0006
0deg,HL17,5,1.8300,4.4700,heave,0.0015,-0.0012,0.0094,0.0004
0deg,HL17,5,1.8300,4.4700,roll,-0.1304,-0.2314,-0.1199,0.0053
0deg,HL17,5,1.8300,4.4700,pitch,-0.0004,-0.0002,0.0201,0.0006
0deg,HL17,5,1.8300,4.4700,yaw,0.0012,-0.0046,0.0130,0.0019
0deg,HL17,6,2.1700,4.8600,surge,4.8296,5.0244,5.3218,0.0699
0deg,HL17,6,2.1700,4.8600,sway,-17.9670,-17.9731,-17.9656,0.0005
0deg,HL17,6,2.1700,4.8600,heave,0.0002,-0.0013,0.0171,0.0006
0deg,HL17,6,2.1700,4.8600,roll,-0.1353,-0.2364,-0.1184,0.0058
0deg,HL17,6,2.1700,4.8600,pitch,-0.0001,-0.0002,0.0377,0.0018
0deg,HL17,6,2.1700,4.8600,yaw,0.0022,-0.0055,0.0137,0.0015
0deg,HL17,7,2.5000,5.2200,surge,4.8382,5.0664,5.5690,0.1317
0deg,HL17,7,2.5000,5.2200,sway,-17.9670,-17.9732,-17.9661,0.0005
